ID,CommonName,Dive Number,FS,Total Indices On Whale,Total Seconds on Whale,Deployment Start (Local Time),Deployment End (Local Time),Dive Start (Index),Seconds From Deployment Start,Dive Start (Local Time),Dive End (Index),Dive End (Local Time),Dive Time (Indices),Dive Time (s),Descending Time (s),Bottom Time (s),Ascending Time (s),Fluking Time (%),Non-Fluking Time (%),Max Depth (m),Mean Depth (m),Fluking During Bottom (%),Non-Fluking During Bottom (%),Dive Dominant Stroking Frequency (Hz),Bottom Dominant Stroking Frequency (Hz),Gape Area (AO),Posterior Opening (PO),Speed,Pressure Differential,Volume Flow Rate (m3 per s),Volume Per Day (Continuous Filtering)
bm08_123a,Bowhead Whale,1,5,17074,3414.8,,,6513,1302.6,,12642,,6129,1225.8,97.4,1045.6,83,84.15986949,15.84013051,90.18614714,65.97604607,84.35348125,15.64651875,0.275992836,0.279760072,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_126a,Bowhead Whale,2,5,50607,10121.4,,,9440,1888,,12653,,3213,642.6,208.6,206.4,227.8,83.26073429,16.73926571,122.3555954,74.62636032,79.74806202,20.25193798,0.221798904,0.238298081,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_126a,Bowhead Whale,3,5,50607,10121.4,,,33448,6689.6,,38812,,5364,1072.8,309,346.8,417.2,73.28984157,26.71015843,123.991627,81.99151075,78.66205306,21.33794694,0.210186083,0.192340062,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_126b,Bowhead Whale,4,5,25568,5113.6,,,5061,1012.2,,10005,,4944,988.8,81.6,800.4,107,90.75834176,9.241658241,95.39186213,73.31161249,93.95302349,6.046976512,0.250380601,0.252269993,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_126b,Bowhead Whale,5,5,25568,5113.6,,,10886,2177.2,,15722,,4836,967.2,137.4,755.8,74.2,89.02212115,10.97787885,96.83284944,84.20616342,93.7284996,6.271500397,0.255554613,0.254448519,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_126b,Bowhead Whale,6,5,25568,5113.6,,,16701,3340.2,,21291,,4590,918,83.6,629.2,205.4,82.26965803,17.73034197,93.43530674,80.29135163,84.42466624,15.57533376,0.263801017,0.262609127,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_126b,Bowhead Whale,7,5,25568,5113.6,,,22210,4442,,26779,,4569,913.8,97.6,521.6,294.8,54.72647702,45.27352298,97.76956264,74.45730883,72.66104294,27.33895706,0.271000923,0.275367673,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_127a,Bowhead Whale,8,5,45443,9088.6,,,1669,333.8,,6769,,5100,1020,136.4,736,147.8,92.33483631,7.665163693,106.4117479,92.87820822,99.375,0.625,0.290472833,0.281510092,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_127a,Bowhead Whale,9,5,45443,9088.6,,,7552,1510.4,,12510,,4958,991.6,205.4,680.2,106.2,85.23895947,14.76104053,114.319702,93.06967073,91.5613055,8.438694502,0.297708068,0.290959434,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_127a,Bowhead Whale,10,5,45443,9088.6,,,25411,5082.2,,27293,,1882,376.4,149,139.6,88,92.93680297,7.063197026,48.10307382,33.86876521,100,0,0.284025583,0.258408087,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_129a,Bowhead Whale,11,5,11443,2288.6,,,1106,221.2,,6578,,5472,1094.4,154.8,833,106.8,89.32943541,10.67056459,126.8092253,101.3423627,91.30852341,8.691476591,0.284095098,0.278912983,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,12,5,48747,9749.4,,,533,106.6,,4367,,3834,766.8,84.4,481.2,201.4,93.61147327,6.388526728,36.03629029,21.45340005,93.93183707,6.068162926,0.321115717,0.329460117,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,13,5,48747,9749.4,,,4965,993,,8101,,3136,627.2,64.8,542.6,20,92.6362767,7.363723303,17.37254793,12.8792641,98.30446001,1.695539993,0.321028037,0.319210997,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,14,5,48747,9749.4,,,8702,1740.4,,11737,,3035,607,57.8,508.2,41.2,91.63372859,8.36627141,26.11630623,18.2110717,93.7819756,6.2180244,0.31788449,0.316518059,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,15,5,48747,9749.4,,,12528,2505.6,,16170,,3642,728.4,62.8,585,80.8,91.27093055,8.729069448,44.85675443,22.84076381,94.11965812,5.88034188,0.292778905,0.297746723,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,16,5,48747,9749.4,,,16852,3370.4,,21524,,4672,934.4,28.8,885.4,20.4,96.21228333,3.78771667,27.91042551,13.50696032,97.98960922,2.010390784,0.315669556,0.315174154,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,17,5,48747,9749.4,,,22282,4456.4,,26093,,3811,762.2,18.6,724.6,19.2,90.18887723,9.81112277,22.97980365,13.7164454,91.27794645,8.722053547,0.315241421,0.316216131,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,18,5,48747,9749.4,,,26701,5340.2,,29385,,2684,536.8,88.8,391.8,56.4,91.47113594,8.52886406,24.96638227,17.04787697,93.21082185,6.789178152,0.311825541,0.307638464,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,19,5,48747,9749.4,,,29957,5991.4,,33591,,3634,726.8,27.4,591.2,108.4,95.51581843,4.484181568,33.11440238,20.14454976,96.95534506,3.044654939,0.308607847,0.306878806,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,20,5,48747,9749.4,,,34225,6845,,38178,,3953,790.6,54.8,689.4,46.6,89.17551846,10.82448154,40.59576727,24.01814363,94.66202495,5.337975051,0.286641192,0.288564556,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,21,5,48747,9749.4,,,38860,7772,,42447,,3587,717.4,56.4,594.2,67,87.7090301,12.2909699,43.44790725,21.92224353,94.81656008,5.183439919,0.305027086,0.304449183,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
bm08_130a,Bowhead Whale,22,5,48747,9749.4,,,43093,8618.6,,47474,,4381,876.2,45,812.6,18.8,90.16430853,9.835691465,25.49664181,11.50519575,91.38567561,8.614324391,0.309520124,0.309825099,4.23,1.39,0.7,2074.507479,5.10625131,441180.1132
eg01_207a,North Atlantic Right Whale,23,5.8824,116220,19757.24194,16:14:07,21:43:24,181,30.76975384,16:14:38,5131,17:39:38,4950,841.4932681,66.46946824,703.9643683,71.22943016,88.32559079,11.67440921,126.1999786,108.6339972,96.76406665,3.235933349,0.263850085,0.265301642,1.5,0.5,1.2,5904,3.054701295,263926.1919
eg01_207a,North Atlantic Right Whale,24,5.8824,116220,19757.24194,16:14:07,21:43:24,6275,1066.741466,16:31:54,11335,19:23:02,5060,860.1931185,85.33931729,701.24439,73.77940976,90.12052954,9.87947046,127.9170588,112.2830034,98.47272727,1.527272727,0.257946896,0.261106339,1.5,0.5,1.2,5904,3.054701295,263926.1919
eg01_207a,North Atlantic Right Whale,25,5.8824,116220,19757.24194,16:14:07,21:43:24,12560,2135.182919,16:49:42,17576,21:07:03,5016,852.7131783,78.19937441,704.4743642,70.20943832,90.57205501,9.427944987,127.9560284,110.7244129,98.38320463,1.616795367,0.257882348,0.260188823,1.5,0.5,1.2,5904,3.054701295,263926.1919
eg01_207a,North Atlantic Right Whale,26,5.8824,116220,19757.24194,16:14:07,21:43:24,18836,3202.094383,17:07:29,24024,22:54:31,5188,881.9529444,78.70937033,717.0542636,86.35930913,92.73463095,7.26536905,130.6744813,116.7285166,100,0,0.263499038,0.269458722,1.5,0.5,1.2,5904,3.054701295,263926.1919
